"","park","year","total_sq_kilometers","country","state_region_province","closest_city","distance_from_closest_city","geocode_address","lon","lat","geoAddress"
"459","Picos de Europa ",1918,"671","Spain","Cantabria and Asturias","Oviedo",81,"Picos de Europa  National Park, Spain",-4.8712433,43.1869684,"parque nacional de los picos de europa, asturias, spain"
"460","Aiguestortes i Estany de Sant Maurici ",1955,"141","Spain","Catalunya","Lleida",151,"Aiguestortes i Estany de Sant Maurici  National Park, Spain",0.9324087,42.5719788,"aigüestortes i estany of saint maurici national park, lleida, spain"
"461","Donana",1969,"543","Spain","Andalucia","Huelva",63,"Donana National Park, Spain",-6.4344467,37.0427289,"doñana national park, almonte, huelva, spain"
"462","Tablas de Daimiel ",1973,"30","Spain","New Castile and Extremadura","Madrid ",184,"Tablas de Daimiel  National Park, Spain",-3.6970369,39.1380283,"tablas daimiel, carr. a las tablas de daimiel, s/n, 13250 daimiel, ciudad real, spain"
"463","Cabaneros",1995,"409","Spain","New Castile and Extremadura","Madrid ",165,"Cabaneros National Park, Spain",-4.4931831,39.4007408,"cabañeros national park, cdad., 13110 horcajo de los montes, ciudad real, spain"
"464","Sierra Nevada ",1999,"859","Spain","Andalucia","Granada ",30,"Sierra Nevada  National Park, Spain",-3.1464992,37.0871121,"sierra nevada national park, ctra. antigua de sierra nevada, km. 7, 18196 sierra nevada, granada, spain"
"465","Illas Atlanticas de Galicia ",2002,"85","Spain","Galicia","Pontevedra",32,"Illas Atlanticas de Galicia  National Park, Spain",-8.9366865,42.3777191,"galician atlantic islands maritime-terrestrial national park, pontevedra, spain"
"466","Monfrague",2007,"184","Spain","New Castile and Extremadura","Madrid ",229,"Monfrague National Park, Spain",-5.9370734,39.813014,"monfragüe national park, 10695 villareal de san carlos, cáceres, spain"
"467","Sierra de Guadarrama ",2013,"340","Spain","Around Madrid","Madrid ",67,"Sierra de Guadarrama  National Park, Spain",-3.9614438,40.824722,"centro de visitantes peñalara, 40°49'28.5""n 3°57'41.5""w, 28741 rascafría, madrid, spain"
"468","Sierra de las Nieves ",2021,"230","Spain","Andalucia","Marbella",23,"Sierra de las Nieves  National Park, Spain",-4.9975534,36.6989771,"parque nacional sierra de las nieves, málaga, spain"
"469","Abisko",1909,"77","Sweden","Swedish Lapland","Oulu",581,"Abisko National Park, Sweden",18.685017,68.3187659,"abisko national park, kiruna, sweden"
"470","Angso",1909,"2","Sweden","Stockholm and Around","Stockholm",67,"Angso National Park, Sweden",18.7608066,59.6173057,"ängsö national park, stadsgården 22, 116 45 stockholm, sweden"
"471","Garphyttan",1909,"1","Sweden","The Southeast","Orebro ",22,"Garphyttan National Park, Sweden",14.8834032,59.2785032,"garphyttans nationalpark, unnamed road, 719 93 vintrosa, sweden"
"472","Gotska Sandon ",1909,"45","Sweden","The Southeast","Stockholm",127,"Gotska Sandon  National Park, Sweden",19.2576905,58.3523256,"gotska sandön, 624 65 fårösund, sweden"
"473","Hamra ",1909,"0.3","Sweden","The Bothnian Coast","Uppsala",331,"Hamra  National Park, Sweden",14.7575785,61.7639747,"hamra national park, 820 50 los, sweden"
"474","Pieljekaise",1909,"153","Sweden","Swedish Lapland","Trondheim",525,"Pieljekaise National Park, Sweden",16.7427266,66.3505662,"pieljekaise national park, sweden"
"475","Sanfjallet",1909,"103","Sweden","Central Sweden","Uppsala",445,"Sanfjallet National Park, Sweden",13.5833333,62.3,"sonfjället national park, sonfjället, sweden"
"476","Sarek",1909,"1970","Sweden","Swedish Lapland","Oulu",500,"Sarek National Park, Sweden",17.7,67.2833333,"sarek national park, sweden"
"477","Dalby Soderskog ",1918,"4","Sweden","The Southwest","Malmo",26,"Dalby Soderskog  National Park, Sweden",13.3300349,55.6762902,"dalby söderskog national park, 247 51 dalby, sweden"
"478","Vadvetjakka",1920,"26","Sweden","Swedish Lapland","Oulu",650,"Vadvetjakka National Park, Sweden",18.4345214,68.5398922,"vadvetjåkka national park, sweden"
"479","Bla Jungfrun ",1926,"2","Sweden","The Southeast","Linkoping",137,"Bla Jungfrun  National Park, Sweden",16.7937327,57.2537758,"blå jungfruns nationalpark, 387 72 oskarshamn, sweden"
"480","Norra Kvill ",1929,"1","Sweden","The Southeast","Linkoping",88,"Norra Kvill  National Park, Sweden",15.5938205,57.7629504,"norra kvills nationalpark, 598 72 gullringen, sweden"
"481","Tofsingdalen",1930,"16","Sweden","Central Sweden","Oslo",335,"Tofsingdalen National Park, Sweden",12.4504438,62.1669773,"töfsingdalen national park, 790 91 idre, sweden"
"482","Muddus",1942,"493","Sweden","Swedish Lapland","Oulu",380,"Muddus National Park, Sweden",20.2204814,66.9296773,"muddus national park, sweden"
"483","Padjelanta",1962,"1984","Sweden","Swedish Lapland","Trondheim",675,"Padjelanta National Park, Sweden",16.7132912,67.3736812,"padjelanta national park, sweden"
"484","Tiveden",1983,"14","Sweden","The Southeast","Orebro ",83,"Tiveden National Park, Sweden",14.6065028,58.7171092,"tiveden national park, tivedens nationalpark, tived, sweden"
"485","Skuleskogen",1984,"24","Sweden","The Bothnian Coast","Uppsala",434,"Skuleskogen National Park, Sweden",18.494087,63.1194909,"skuleskogen national park, kustvägen 31, 870 31 mjällom, sweden"
"486","Store Mosse ",1989,"79","Sweden","The Southeast","Jonkoping",64,"Store Mosse  National Park, Sweden",13.9298207,57.2999982,"greater mosse national park, store mosse nationalpark, 330 33 hillerstorp, sweden"
"487","Bjornlandet ",1991,"11","Sweden","Swedish Lapland","Trondheim",520,"Bjornlandet  National Park, Sweden",18.0553953,63.9712011,"björnlandets nationalpark, 919 93 fredrika, sweden"
"488","Djuro ",1991,"24","Sweden","Gothenburg and Around","Gothenburg",155,"Djuro  National Park, Sweden",13.4683508,58.86413,"djurö national park, 661 91 torsö, sweden"
"489","Tyresta",1993,"20","Sweden","Stockholm and Around","Stockholm",20,"Tyresta National Park, Sweden",18.2811826,59.1843103,"tyresta nationalpark och naturreservat, tyresta by 1, 136 59 vendelsö, sweden"
"490","Haparanda Archipelago ",1995,"60","Sweden","The Bothnian Coast","Oulu",101,"Haparanda Archipelago  National Park, Sweden",23.748206,65.577295,"haparanda archipelago national park, 953 95 seskarö, sweden"
"491","Tresticklan",1996,"29","Sweden","Gothenburg and Around","Gothenburg",179,"Tresticklan National Park, Sweden",11.7950483,59.043919,"tresticklan national park, lundby, sweden"
"492","Farnebofjarden",1998,"101","Sweden","Central Sweden","Uppsala",73,"Farnebofjarden National Park, Sweden",16.9087019,60.269924,"färnebofjärden national park, entrance, granövägen, 740 45 tärnsjö, sweden"
"493","Soderasen ",2001,"16","Sweden","The Southwest","Helsingborg",47,"Soderasen  National Park, Sweden",18.643501,60.128161,"sweden"
"494","Fulufjallet ",2002,"385","Sweden","Central Sweden","Oslo",295,"Fulufjallet  National Park, Sweden",12.7529779,61.5472905,"fulufjället national park, älvdalen, sweden"
"495","Kosterhavet ",2009,"398","Sweden","Gothenburg and Around","Gothenburg",166,"Kosterhavet  National Park, Sweden",11.03445,58.8371072,"kosterhavet national park, hamnevägen 30, ekenäs, sweden"
"496","Asnen",2018,"19","Sweden","The Southwest","Helsingborg",174,"Asnen National Park, Sweden",14.6500001,56.6166667,"åsnens nationalpark, strandvägen, 342 53 lönashult, sweden"
"497","Swiss ",1914,"172","Switzerland","Graubunden","Bolzano Bozen",116,"Swiss  National Park, Switzerland",10.2000257,46.6666261,"swiss national park, 7530 zernez, switzerland"
"498","Peak District ",1951,"1438","United Kingdom","W Midlands","Sheffield",23,"Peak District  National Park, United Kingdom",-1.7837383,53.3342499,"peak district national park, castleton, hope valley s33 8ws, uk"
"499","Lake District ",1951,"2292","United Kingdom","Cumbria and the Lakes","Newcastle",132,"Lake District  National Park, United Kingdom",-2.7974835,54.5772323,"lake district national park, cumbria, penrith ca10 2ql, uk"
"500","Snowdonia",1951,"2142","United Kingdom","Snowdonia and the Llyn","Liverpool",106,"Snowdonia National Park, United Kingdom",-3.8520817,52.898964,"snowdonia national park, blaenau ffestiniog ll41 4tr, uk"
"501","Dartmoor",1951,"856","United Kingdom","Devon and Cornwall","Plymouth",21,"Dartmoor National Park, United Kingdom",-3.9206884,50.5718857,"dartmoor national park, united kingdom"
"502","Pembrokeshire Coast ",1952,"620","United Kingdom","SW Wales","Swansea",105,"Pembrokeshire Coast  National Park, United Kingdom",-5.1011117,51.8120746,"pembrokeshire coast national park, united kingdom"
"503","North York Moors ",1952,"1436","United Kingdom","Yorkshire","Middlesborough",31,"North York Moors  National Park, United Kingdom",-0.892714,54.38716,"north york moors national park, united kingdom"
"504","Yorkshire Dales ",1954,"2179","United Kingdom","Yorkshire","Leeds",35,"Yorkshire Dales  National Park, United Kingdom",-2.1632062,54.1962686,"yorkshire dales national park, bainbridge, leyburn dl8 3el, uk"
"505","Exmoor",1954,"683","United Kingdom","Devon and Cornwall","Exeter",45,"Exmoor National Park, United Kingdom",-3.6462346,51.134614,"exmoor national park, dulverton ta22 9hl, uk"
"506","Northumberland",1956,"1049","United Kingdom","Northeast","Newcastle",39,"Northumberland National Park, United Kingdom",-2.2566844,55.3378051,"northumberland national park, united kingdom"
"507","Brecon Beacons ",1957,"1351","United Kingdom","Brecon Beacons and Powys","Cardiff",56,"Brecon Beacons  National Park, United Kingdom",-3.443504,51.8814731,"brecon beacons, brecon ld3 8nl, uk"
"508","The Broads ",1989,"303","United Kingdom","East Anglia","Norwich",19,"The Broads  National Park, United Kingdom",1.608883,52.604949,"the broads, thorpe rd, norwich nr1 1ry, uk"
"509","Loch Lomond and the Trossachs ",2002,"1865","United Kingdom","Stirling, Loch Lomond and the Trossachs","Glasgow",47,"Loch Lomond and the Trossachs  National Park, United Kingdom",-4.4720131,56.1487349,"loch lomond and the trossachs national park, stirling fk8, uk"
"510","Cairngorms",2003,"4528","United Kingdom","Cairngorms and Speyside","Dundee",51,"Cairngorms National Park, United Kingdom",-3.5615665,57.0492193,"cairngorms national park, grantown on spey ph26 3hg, uk"
"511","New Forest ",2005,"580","United Kingdom","Hampshire, Dorset and Wiltshire","Southampton",10,"New Forest  National Park, United Kingdom",-1.6312373,50.8764416,"new forest national park, united kingdom"
"512","South Downs ",2009,"1641","United Kingdom","Surrey, Kent and Sussex","Worthing",43,"South Downs  National Park, United Kingdom",-0.7380902,50.9892513,"south downs national park, north st, midhurst gu29 9dh, uk"
"513","Carpathian",1980,"503","Ukraine","Ivano-Frankivsk Oblast","Ivano-Frankivsk",93,"Carpathian National Park, Ukraine",25.5908974,47.2390429,"carpathian mountains"
"514","Shatsky",1983,"325","Ukraine","Volyn Oblast","Brest",99,"Shatsky National Park, Ukraine",23.859678,51.482778,"shatskyi national park, zhovtneva st, svitiaz', volyns'ka oblast, ukraine, 44021"
"515","Synevir ",1989,"404","Ukraine","Zakarpattia Oblast","Ivano-Frankivsk",165,"Synevir  National Park, Ukraine",23.684,48.617,"synevyr, zakarpattia oblast, ukraine"
"516","Uzhanian",1991,"382","Ukraine","Zakarpattia Oblast","Uzzhorod",71,"Uzhanian National Park, Ukraine",22.6751198,49.0022159,"uzhanskyi national park, н-13, великий березний, zakarpats'ka oblast, ukraine, 89000"
"517","Azov-Syvash ",1993,"522","Ukraine","Kherson Oblast","Melitpol",100,"Azov-Syvash  National Park, Ukraine",35.1128879,46.1426499,"azov-syvas'kyi national park, khersons'ka oblast, ukraine"
"518","Vyzhnytsia",1995,"79","Ukraine","Chernivtsi Oblast","Chernivtsi",65,"Vyzhnytsia National Park, Ukraine",25.2380182,48.1659463,"vyzhnytsia national park, chernivets'ka oblast, ukraine, 59209"
"519","Holy Mountains ",1997,"406","Ukraine","Donetsk Oblast","Slovyansk",14,"Holy Mountains  National Park, Ukraine",37.7516234,48.9510953,"sviati hory national park, donets'ka oblast, ukraine"
"520","Yavorivskyi ",1998,"71","Ukraine","Lviv Oblast","Lviv",49,"Yavorivskyi  National Park, Ukraine",23.7225758,49.9236992,"yavoriv national park, зелена 23, смт. івано-франкове, l'vivs'ka oblast, ukraine, 81070"
"521","Desna-Starogutsky ",1999,"162","Ukraine","Sumy Oblast","Bryansk",141,"Desna-Starogutsky  National Park, Ukraine",33.697539,52.3377732,"natsionalʹnyy pryrodnyy park ""desnyansʹko-starohut·sʹkyy"", національний природний парк “деснянсько-старогутський, seredyna-buda, sums'ka oblast, ukraine, 41020"
"522","Skole Beskids ",1999,"357","Ukraine","Lviv Oblast","Lviv",111,"Skole Beskids  National Park, Ukraine",23.5110466,49.0287995,"skolivski beskydy national park, skole, l'vivs'ka oblast, ukraine, 82600"
"523","Hutsulshchyna",2002,"323","Ukraine","Ivano-Frankivsk Oblast","Ivano-Frankivsk",95,"Hutsulshchyna National Park, Ukraine",24.9892825,48.330984,"hutsulshchyna national park, вулиця дружби, 84, kosiv, ivano-frankivs'ka oblast, ukraine, 78600"
"524","Halych",2004,"147","Ukraine","Ivano-Frankivsk Oblast","Ivano-Frankivsk",22,"Halych National Park, Ukraine",24.7313165,49.1237705,"halych, ivano-frankivsk oblast, ukraine"
"525","Homolsh Woods ",2004,"143","Ukraine","Kharkiv Oblast","Kharkiv ",52,"Homolsh Woods  National Park, Ukraine",36.2946031,49.5711618,"natsionalʹnyy pryrodnyy park ""homilʹshansʹki lisy"", зміївський район, kharkivs'ka oblast, ukraine, 63451"
"526","Ichnya ",2004,"97","Ukraine","Chernihiv Oblast","Brovary",133,"Ichnya  National Park, Ukraine",32.3974889,50.8579559,"ichnya, chernihiv oblast, ukraine, 16703"
"527","Great Meadow ",2006,"168","Ukraine","Zaporizhzhia Oblast","Zaporizhzhia",72,"Great Meadow  National Park, Ukraine",35.0718456,47.4289145,"great meadow national park, dniprorudne, zaporiz'ka oblast, ukraine, 71630"
"528","Mezynsky",2006,"310","Ukraine","Chernihiv Oblast","Chernihiv",149,"Mezynsky National Park, Ukraine",33.0244208,51.7166765,"mezynskyi national park, вул.корди, 84, radychiv, chernihivs'ka oblast, ukraine, 16215"
"529","Holosiivskyi",2007,"45","Ukraine","Kyiv Oblast","Kyiv",0,"Holosiivskyi National Park, Ukraine",31.16558,48.379433,"ukraine"
"530","Prypiat-Stokhid ",2007,"393","Ukraine","Volyn Oblast","Lutsk",159,"Prypiat-Stokhid  National Park, Ukraine",25.6128202,51.8810262,"pripiat-stokhid national park, смт, вулиця бондаренка, 47, lyubeshiv, volyns'ka oblast, ukraine, 44200"
"531","Lower Dniester ",2008,"213","Ukraine","Odessa Oblast","Odessa",41,"Lower Dniester  National Park, Ukraine",30.2279265,46.4134002,"lower dniester national park, е 87, maiaky, odes'ka oblast, ukraine"
"532","Buzk’s Gard ",2009,"61","Ukraine","Mykolaiv Oblast","Kropyvnytskyi ",120,"Buzk’s Gard  National Park, Ukraine",31.16558,48.379433,"ukraine"
"533","Charming Harbor ",2009,"63","Ukraine","Crimea","Yevpatoroya",101,"Charming Harbor  National Park, Ukraine",32.5847032,45.3576615,"charming harbor national park, улица кирова, 6а, черноморское"
"534","Cheremosh",2009,"71","Ukraine","Chernivtsi Oblast","Chernivtsi",121,"Cheremosh National Park, Ukraine",25.0974541,47.9949749,"natsionalʹnyy pryrodnyy park ""cheremosʹkyy"", українська вул. 174, putyla, chernivets'ka oblast, ukraine, 59100"
"535","Derman-Ostroh ",2009,"16","Ukraine","Rivne Oblast","Rivne",44,"Derman-Ostroh  National Park, Ukraine",26.2127997,50.2892135,"derman-ostrog national park, вулиця князів острозьких, 3а, ostroh, rivnens'ka oblast, ukraine, 35800"
"536","Dvorichanskyi ",2009,"31","Ukraine","Kharkiv Oblast","Kharkiv",167,"Dvorichanskyi  National Park, Ukraine",37.8081598,49.9570348,"dvorichanskyi national nature park, река оскол, харківська область, ukraine"
"537","Dzharylhak",2009,"100","Ukraine","Kherson Oblast","Kherson",71,"Dzharylhak National Park, Ukraine",32.8974944,46.03372,"dzharylhach, kherson oblast, ukraine"
"538","Hetman",2009,"234","Ukraine","Sumy Oblast","Sumy",59,"Hetman National Park, Ukraine",34.9314477,50.4756729,"hetman national park, 42600, вул. вознесенська, 53-в, trostianets', sums'ka oblast, ukraine"
"539","Ivory Coast ",2009,"352","Ukraine","Mykolaiv Oblast","Mykolaiv",190,"Ivory Coast  National Park, Ukraine",31.6779877,46.4986066,"national park ""biloberezhia sviatoslava"", mykolaiv, покровське, миколаївська область, ukraine, 57555"
"540","Karmelyukove Podillya ",2009,"165","Ukraine","Vinnytsia Oblast","Vinnytsia",133,"Karmelyukove Podillya  National Park, Ukraine",29.2602778,48.3991667,"національний природний парк «кармелюкове поділля», котовського вул., 20, obodivka, vinnyts'ka oblast, ukraine, 24353"
"541","Kremenets",2009,"70","Ukraine","Ternopil Oblast","Uzzhorod",90,"Kremenets National Park, Ukraine",25.7276661,50.1078135,"kremenets', ternopil oblast, ukraine"
"542","Meotida",2009,"207","Ukraine","Donetsk Oblast","Mariupol",47,"Meotida National Park, Ukraine",31.16558,48.379433,"ukraine"
"543","Pyryatyn",2009,"120","Ukraine","Poltava Oblast","Cherkasy",138,"Pyryatyn National Park, Ukraine",32.5070927,50.2394849,"pyryatyn, poltava oblast, ukraine"
"544","Sloboda",2009,"52","Ukraine","Kharkiv Oblast","Kharkiv",96,"Sloboda National Park, Ukraine",31.16558,48.379433,"ukraine"
"545","Synyohora",2009,"109","Ukraine","Ivano-Frankivsk Oblast","Ivano-Frankivsk",59,"Synyohora National Park, Ukraine",31.16558,48.379433,"ukraine"
"546","Tuzly Lagoons ",2009,"109","Ukraine","Odessa Oblast","Odessa",175,"Tuzly Lagoons  National Park, Ukraine",30,45.783333,"tuzly lagoons, odessa oblast, ukraine"
"547","White Lake ",2009,"70","Ukraine","Kyiv Oblast","Cherkasy",81,"White Lake  National Park, Ukraine",31.16558,48.379433,"ukraine"
"548","Zacharovany Krai ",2009,"61","Ukraine","Zakarpattia Oblast","Uzzhorod",97,"Zacharovany Krai  National Park, Ukraine",23.122885,48.4156494,"zacharovanyi krai national park, вул. партизанська, il'nytsya, zakarpattia oblast, ukraine"
"549","Zalissya ",2009,"148","Ukraine","Kyiv Oblast","Kyiv",51,"Zalissya  National Park, Ukraine",30.8725719,50.6302201,"zalissya, kyiv oblast, ukraine, 07433"
"550","Dniester Canyon ",2010,"108","Ukraine","Ternopil Oblast","Chernivtsi",63,"Dniester Canyon  National Park, Ukraine",26.561542314772,47.9378396078094,"dnister river"
"551","Khotyn",2010,"94","Ukraine","Chernivtsi Oblast","Chernivtsi",41,"Khotyn National Park, Ukraine",26.4903334,48.5097106,"khotyn, chernivtsi oblast, ukraine"
"552","Lower Sula ",2010,"169","Ukraine","Potlava Oblast","Kremenchuk ",89,"Lower Sula  National Park, Ukraine",32.7308659,49.6023596,"nyzhniosulskyi national park, вулиця центральна, 128, оржиця, poltavs'ka oblast, ukraine, 37700"
"553","Northern Podillya ",2010,"156","Ukraine","Lviv Oblast","Ternopil",84,"Northern Podillya  National Park, Ukraine",24.9906548,49.9381299,"natsionalʹnyy pryrodnyy park ""pivnichne podillya"", вул. гагаріна, 2-б, с, pidhirtsi, l'vivs'ka oblast, ukraine, 80660"
"554","Oleshky",2010,"80","Ukraine","Kherson Oblast","Kherson",40,"Oleshky National Park, Ukraine",32.7072675,46.6199321,"oleshky, kherson oblast, ukraine"
"555","Pryazovskyi ",2010,"781","Ukraine","Zaporizhzhia","Melitpol",77,"Pryazovskyi  National Park, Ukraine",35.6972773,46.7454316,"pryazovs'kyi district, zaporizhia oblast, ukraine"
"556","Tsumanska Puscha ",2010,"335","Ukraine","Volyn Oblast","Lutsk",53,"Tsumanska Puscha  National Park, Ukraine",25.9255327,50.8911355,"tsumansʹka pushcha, volyns'ka oblast, ukraine"
"557","Verkhovyna",2010,"120","Ukraine","Ivano-Frankivsk Oblast","Chernivtsi",150,"Verkhovyna National Park, Ukraine",24.8275976,47.8568248,"national park ""verkhovyna"", ivano-frankivs'ka oblast, ukraine"
"558","Lower Polissia ",2013,"95","Ukraine","Khmelnytskyi Oblast","Rivne",88,"Lower Polissia  National Park, Ukraine",26.7572944,50.2062985,"small polissia national park, khmel'nyts'ka oblast, ukraine"
"559","Podilski Tovtry ",2015,"802","Ukraine","Khmelnytskyi Oblast","Chernivtsi",127,"Podilski Tovtry  National Park, Ukraine",27.0049293,48.5923997,"podilski tovtry national park, площа польський ринок, 6, кам'янець-подільський, khmel'nyts'ka oblast, ukraine, 32301"
